repository_url;user-login;title;labels;state;milestones;number-comments;created_at;updated_up
https://api.github.com/repos/googlesamples/unity-jar-resolver;robinfischerinnogames;[Bug] ProjectSettings/GvhProjectSettings.xml is saved as UTF-8 with BOM;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;2;2021-02-23T16:13:26Z;2021-03-06T20:06:03Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;marfx000;Fixing maven repo path separator char;[];open;;2;2021-02-04T04:48:41Z;2021-02-04T04:49:43Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;DominatorDuck;[BUG] Unable to resolve reference 'UnityEditor.iOS.Extensions.Xcode' on Windows;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;9;2020-11-09T13:29:27Z;2021-03-23T09:38:13Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;polmum;[FR] Being able to set pod executable;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;2;2020-11-03T16:04:40Z;2020-11-06T22:24:50Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;ahmetayrnc;"Fixed typo in ""you"" intended to be ""your""";[];open;;2;2020-10-21T16:59:30Z;2020-10-21T17:05:43Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;ricardobustaw;Issues when saving analytics settings to GvhProjectSettings.xml;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;5;2020-07-06T15:54:11Z;2020-07-28T00:24:03Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;peterpp;Could not initialize class org.codehaus.groovy.vmplugin.v7.Java7;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;41;2020-06-16T10:18:10Z;2021-04-08T01:06:15Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;MagicMiikka;Enable Jetifier Popup fails to render properly;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;5;2020-06-14T06:49:12Z;2021-03-09T00:33:34Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;sp-jordi-vilalta;Make build order constants public;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;0;2020-05-05T08:46:15Z;2020-06-19T20:55:33Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;Si1ver;Grand Cleanup of C# Project Files;[];open;;1;2020-04-13T17:43:21Z;2020-04-18T17:01:46Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;pineda1000;Unity Loads for 2 minuites every single time play is pressed.;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;23;2020-04-11T08:18:45Z;2021-02-23T18:40:32Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;leosunity;GvhProjectSettings.xml stored in ProjectSettings folder;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;6;2020-03-31T01:26:06Z;2020-10-08T07:13:36Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;golergka;"""External Dependency Manager"" menu option missing";[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;12;2020-03-24T13:38:09Z;2020-09-03T05:00:36Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;Thaina;launcherTemplate.gradle in unity 2020.1.0b2;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;1;2020-03-19T03:40:05Z;2020-03-27T04:01:03Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;sefish;DIR_UNITYPROJECT issue with paths including \u;[{'id': 311275043, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDM=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20bug', 'name': 'type: bug', 'color': 'DD4040', 'default': False, 'description': ''}];open;;9;2020-03-09T15:45:35Z;2020-07-03T12:08:39Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;santoshbagadi;Resource bundles not linked when adding pod dependency to UnityFramework target;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;18;2020-03-06T02:42:37Z;2020-04-14T21:48:15Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;tomtwo;Use CocoaPods CDN to speed up pod install;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;4;2020-02-26T17:26:13Z;2021-03-30T12:54:43Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;jazib-shahzad;JDK and SDK Path Issue in Unity 2019.3.1f1;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;11;2020-02-13T13:43:08Z;2020-12-09T03:18:22Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;JSC-Sparkling;[Android] (Force) Resolve doesn't refresh the dependncies.;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;4;2020-01-14T13:51:25Z;2020-01-24T17:11:24Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;sp-jordi-vilalta;Modify the build.gradle file in a post process step when possible;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;5;2019-12-18T09:46:50Z;2020-03-16T07:38:09Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;troy-lamerton;Use android debugImplementation and releaseImplementation;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;4;2019-11-25T05:34:07Z;2019-12-03T18:27:49Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;mo22;disabling Explore AAR still modifies AARs after downloading ;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;4;2019-10-20T16:28:50Z;2019-11-23T22:00:50Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;kjakm;Exclude transitive dependencies;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;2;2019-08-16T14:05:02Z;2019-08-16T17:28:47Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;mahdi-malv;How to exclude a library from dependencies;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;2;2019-07-11T08:06:08Z;2019-10-01T01:37:20Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;jkasten2;Android - Support custom manifestPlaceholders in Dependencies.xml;[{'id': 311275045, 'node_id': 'MDU6TGFiZWwzMTEyNzUwNDU=', 'url': 'https://api.github.com/repos/googlesamples/unity-jar-resolver/labels/type:%20feature%20request', 'name': 'type: feature request', 'color': 'c5def5', 'default': False, 'description': ''}];open;;10;2019-07-10T07:56:30Z;2020-03-04T17:30:35Z
https://api.github.com/repos/googlesamples/unity-jar-resolver;a772641684;Add 30 second delay before starting auto-resolution.;[];open;;1;2019-06-28T02:33:51Z;2019-06-28T02:33:54Z
